,Marital status,Application mode,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
11,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
12,single,1st phase -- general contingent,basic education,daytime,Finished High School,General commerce course,Elementary School,Adminstrative Staff,Unskilled Workers,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
13,single,Short cycle diploma holders,tourism,daytime,Technical Course,Finished High School,Finished High School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
14,single,1st phase -- general contingent,vetinary nursing,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
15,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
16,single,3rd phase,social service,daytime,Finished High School,General commerce course,Middle School,"Personal Services, Security & Safety Workers",Machine Operators & Assembly Workers,yes,no,no,yes,female,no,18,no,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
17,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers",Adminstrative Staff,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
18,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,Other Degree,Some High School,Intermediate Level Technicians & Professions,"Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
19,single,1st phase -- general contingent,basic education,daytime,Finished High School,General commerce course,Some High School,Skilled Industry,Skilled Industry,yes,no,no,yes,female,no,18,no,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
20,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Machine Operators & Assembly Workers,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
21,single,3rd phase,oral hygiene,daytime,Finished High School,Finished High School,Middle School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,female,no,20,no,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
22,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Some High School,Executive Managers,Executive Managers,yes,no,no,yes,female,no,18,no,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
23,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,Finished High School,Middle School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
24,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Some High School,Intermediate Level Technicians & Professions,Skilled Industry,no,no,no,yes,female,no,19,no,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
25,single,1st phase -- general contingent,social service,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
26,single,2nd phase,social service,daytime,Finished High School,General commerce course,Middle School,Skilled Industry,Machine Operators & Assembly Workers,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
27,single,1st phase -- general contingent,vetinary nursing,daytime,Finished High School,General commerce course,Some High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,18,no,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
28,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
29,single,2nd phase,nursing,daytime,Finished High School,Other Degree,Other Degree,Executive Managers,Armed Forces,yes,no,no,yes,male,no,19,no,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
30,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,Postgraduate Degree,Postgraduate Degree,Adminstrative Staff,Science & Intellectual Specialists,no,no,no,yes,male,no,21,no,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
31,single,Change in institution/course,communication design,daytime,Finished High School,Elementary School,Other Degree,Other Armed Forces,Financial Specialists,yes,no,no,yes,male,no,20,no,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
32,single,1st phase -- general contingent,management,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Skilled Farmers,no,no,no,no,male,no,18,no,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
33,single,3rd phase,social service (evening),evening,Finished High School,General commerce course,Finished High School,Unskilled Workers,"Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,19,no,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
34,single,1st phase -- general contingent,management (evening),evening,Finished High School,Bachelor's Degree,Elementary School,Intermediate Level Technicians & Professions,Unskilled Workers,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
35,single,Over 23 years old,biofuel production technologies,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Skilled Farmers,no,no,yes,no,male,no,37,no,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
36,single,Over 23 years old,informatics engineering,daytime,Some High School,Some High School,Elementary School,Student,Student,yes,no,no,yes,male,no,43,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
37,single,Change in course,management,daytime,Finished High School,General commerce course,Elementary School,Skilled Farmers,Skilled Farmers,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
38,divorced,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Some High School,Unskilled Workers,Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
39,single,Technological specialization diploma holders,equiniculture,daytime,Technical Course,Postgraduate Degree,Postgraduate Degree,Intermediate Level Technicians & Professions,Skilled Farmers,no,no,yes,no,female,no,20,yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
40,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
41,single,1st phase -- general contingent,management,daytime,Finished High School,Other Degree,Some High School,Science & Intellectual Specialists,Skilled Industry,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
42,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
43,single,2nd phase,journalism and communication,daytime,Finished High School,Finished High School,Middle School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
44,single,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
45,single,2nd phase,management (evening),evening,Finished High School,General commerce course,Middle School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
46,single,2nd phase,social service,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,18,no,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
47,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Some High School,Skilled Industry,Skilled Industry,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
48,single,Technological specialization diploma holders,social service (evening),evening,Technical Course,Finished High School,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
49,single,1st phase -- general contingent,social service,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,19,no,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
50,single,Over 23 years old,tourism,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Skilled Industry,no,no,no,yes,female,yes,24,no,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
51,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Middle School,Skilled Farmers,Skilled Farmers,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
52,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,Finished High School,Some High School,Skilled Industry,Skilled Industry,yes,no,no,yes,female,yes,20,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
53,single,1st phase -- general contingent,equiniculture,daytime,Finished High School,General commerce course,Elementary School,Other Situation,Other Situation,no,no,no,yes,female,no,19,no,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
54,single,Over 23 years old,management (evening),evening,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
55,single,1st phase -- general contingent,nursing,daytime,Finished High School,Finished High School,Some High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,18,no,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
56,married,Holders of other higher courses,tourism,daytime,Other Degree,Finished High School,Other Degree,Adminstrative Staff,Intermediate Level Technicians & Professions,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
57,single,Over 23 years old,equiniculture,daytime,Postgraduate Degree,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
58,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Middle School,Skilled Industry,Armed Forces,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
59,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Elementary School,Adminstrative Staff,Unskilled Workers,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
60,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,18,no,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
61,single,Technological specialization diploma holders,social service,daytime,Technical Course,General commerce course,Finished High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
62,single,2nd phase,animation and multimedia design,daytime,Finished High School,Finished High School,Elementary School,Adminstrative Staff,Skilled Industry,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
63,single,2nd phase,communication design,daytime,Finished High School,Finished High School,Finished High School,Intermediate Level Technicians & Professions,Adminstrative Staff,yes,no,no,yes,male,no,19,no,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
64,single,Change in course,communication design,daytime,Finished High School,Finished High School,Finished High School,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,no,no,no,yes,male,no,24,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
65,divorced,Transfer,nursing,daytime,Some High School,Finished High School,Finished High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
66,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Intermediate Level Technicians & Professions,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
67,single,Technological specialization diploma holders,argonomy,daytime,Technical Course,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,23,no,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
68,single,1st phase -- general contingent,management,daytime,Finished High School,Finished High School,Middle School,Skilled Industry,Skilled Industry,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
69,single,Over 23 years old,tourism,daytime,Finished High School,General commerce course,Elementary School,Skilled Industry,Armed Forces,no,no,no,yes,male,no,26,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
70,single,2nd phase,management,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",no,no,no,yes,male,no,18,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
71,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Some High School,Machine Operators & Assembly Workers,Adminstrative Staff,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
72,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Armed Forces,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
73,single,2nd phase,tourism,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers",Skilled Industry,yes,no,no,yes,male,no,18,no,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
74,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,18,no,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
75,single,2nd phase,management,daytime,Finished High School,General commerce course,Some High School,Adminstrative Staff,Skilled Industry,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
76,single,3rd phase,tourism,daytime,Finished High School,General commerce course,Elementary School,Skilled Industry,Skilled Industry,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
77,single,2nd phase,journalism and communication,daytime,Finished High School,Finished High School,Some High School,Unskilled Workers,Machine Operators & Assembly Workers,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
78,single,2nd phase,nursing,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,no,no,no,yes,male,yes,22,no,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
79,married,Over 23 years old,social service (evening),evening,Finished High School,General commerce course,Elementary School,Unskilled Workers,Skilled Farmers,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
80,single,1st phase -- general contingent,basic education,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
81,single,Over 23 years old,management (evening),evening,Bachelor's Degree,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
82,single,Over 23 years old,argonomy,daytime,Postgraduate Degree,Other Degree,Other Degree,Adminstrative Staff,Science & Intellectual Specialists,no,no,yes,yes,male,no,24,no,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
83,single,2nd phase,tourism,daytime,Finished High School,General commerce course,Some High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,male,no,18,no,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
84,married,Over 23 years old,social service (evening),evening,Finished High School,General commerce course,Elementary School,Unskilled Workers,Skilled Farmers,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
85,single,Transfer,nursing,daytime,Finished High School,General commerce course,Middle School,Unskilled Workers,Skilled Industry,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
86,single,Over 23 years old,advertising and marketing management,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,"Personal Services, Security & Safety Workers",no,no,no,yes,female,yes,25,no,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
87,single,2nd phase,communication design,daytime,Finished High School,General commerce course,Middle School,Adminstrative Staff,Student,yes,no,no,yes,male,no,20,no,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
88,single,1st phase -- general contingent,management,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,yes,male,no,23,no,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
89,single,Change in course,informatics engineering,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Skilled Farmers,yes,no,yes,yes,male,no,18,no,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled
90,single,Over 23 years old,nursing,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Armed Forces,no,no,no,yes,male,no,24,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
91,single,2nd phase,journalism and communication,daytime,Finished High School,General commerce course,Finished High School,Unskilled Workers,Unskilled Workers,yes,no,no,no,female,no,21,yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
92,single,International student (bachelor),equiniculture,daytime,Finished High School,Finished High School,Finished High School,Adminstrative Staff,Adminstrative Staff,no,no,no,yes,female,no,26,yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
93,married,Over 23 years old,basic education,daytime,Some High School,General commerce course,Unknown,Student,Student,no,no,no,yes,female,no,39,no,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
94,married,Over 23 years old,social service (evening),evening,Finished High School,General commerce course,Some High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,44,no,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate
95,single,International student (bachelor),informatics engineering,daytime,Finished High School,General commerce course,Other Degree,Unskilled Workers,Science & Intellectual Specialists,yes,no,no,yes,male,no,19,yes,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
96,single,1st phase -- general contingent,journalism and communication,daytime,Finished High School,General commerce course,Finished High School,"Personal Services, Security & Safety Workers","Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,18,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
97,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Elementary School,Skilled Industry,Skilled Industry,yes,no,no,yes,female,yes,18,no,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
98,single,1st phase -- general contingent,vetinary nursing,daytime,Finished High School,Finished High School,Bachelor's Degree,Unskilled Workers,Executive Managers,yes,no,no,yes,female,no,19,no,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
99,single,1st phase -- general contingent,nursing,daytime,Finished High School,Other Degree,Other Degree,Science & Intellectual Specialists,Science & Intellectual Specialists,yes,no,yes,no,female,no,19,no,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
100,single,Short cycle diploma holders,vetinary nursing,daytime,Technical Course,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,21,no,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
101,single,1st phase -- general contingent,animation and multimedia design,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Armed Forces,yes,no,no,yes,female,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate
102,married,Over 23 years old,social service (evening),evening,Finished High School,General commerce course,Elementary School,Skilled Farmers,"Personal Services, Security & Safety Workers",yes,no,no,yes,female,no,36,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
103,divorced,Over 23 years old,argonomy,daytime,Some High School,General commerce course,Elementary School,Unskilled Workers,Skilled Farmers,no,no,no,yes,female,no,43,no,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate
104,single,3rd phase,basic education,daytime,Finished High School,General commerce course,Some High School,Unskilled Workers,Skilled Industry,yes,no,no,yes,female,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
